Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T16:36:06.2845350Z,2026-01-18T16:36:26.2966520Z
1,2026-01-18T16:36:35.6131620Z,2026-01-18T16:36:55.6221310Z
2,2026-01-18T16:37:05.6924910Z,2026-01-18T16:37:25.6907870Z
3,2026-01-18T16:37:35.2293450Z,2026-01-18T16:37:55.2315600Z
4,2026-01-18T16:38:12.4236810Z,2026-01-18T16:38:32.4373550Z
5,2026-01-18T16:38:43.0255000Z,2026-01-18T16:39:03.0218560Z
6,2026-01-18T16:39:15.3098260Z,2026-01-18T16:39:35.3106680Z
7,2026-01-18T16:39:48.3480000Z,2026-01-18T16:40:08.3611090Z
8,2026-01-18T16:40:18.0929880Z,2026-01-18T16:40:38.0925640Z
9,2026-01-18T16:40:48.1786160Z,2026-01-18T16:41:08.1936830Z
