X,Y,Z,Timestamp
13.558404,-0.796926558,10.6538877,2026-01-18T16:29:36.7286650Z
13.558219,-0.7975143,10.654108,2026-01-18T16:29:37.0271630Z
13.5590611,-0.801365256,10.6541681,2026-01-18T16:29:37.3285160Z
13.5592442,-0.802908242,10.6543283,2026-01-18T16:29:37.6313970Z
13.5598211,-0.8036913,10.6544924,2026-01-18T16:29:37.9292980Z
13.56017,-0.8038194,10.6546745,2026-01-18T16:29:38.2306760Z
13.559823,-0.8038725,10.6544409,2026-01-18T16:29:38.5304140Z
13.5599556,-0.804008842,10.6545343,2026-01-18T16:29:38.8316250Z
13.5597467,-0.804037631,10.6545267,2026-01-18T16:29:39.1305770Z
13.5597,-0.8040342,10.65436,2026-01-18T16:29:39.4311740Z
13.5596161,-0.804038942,10.6543579,2026-01-18T16:29:39.7316580Z
13.5592089,-0.8031885,10.6548,2026-01-18T16:29:40.0322440Z
13.5577259,-0.8007022,10.6560736,2026-01-18T16:29:40.3331640Z
13.5575743,-0.79956454,10.6563807,2026-01-18T16:29:40.6336200Z
13.5574894,-0.799079657,10.6566715,2026-01-18T16:29:40.9343990Z
13.5582685,-0.801791251,10.6560011,2026-01-18T16:29:41.2346260Z
13.5587063,-0.8037792,10.6552315,2026-01-18T16:29:41.5370190Z
13.5588417,-0.804527462,10.6550741,2026-01-18T16:29:41.8367130Z
13.558857,-0.804808259,10.6549606,2026-01-18T16:29:42.1373580Z
13.55907,-0.805047035,10.6549463,2026-01-18T16:29:42.4380450Z
13.5591764,-0.805055439,10.6548252,2026-01-18T16:29:42.7208690Z
13.5592632,-0.8050734,10.654748,2026-01-18T16:29:43.0209660Z
13.5592012,-0.8060418,10.6551676,2026-01-18T16:29:43.3220080Z
13.5591888,-0.806518,10.6552143,2026-01-18T16:29:43.6235970Z
13.559124,-0.8068566,10.6549225,2026-01-18T16:29:43.9240830Z
13.559207,-0.806772,10.6551771,2026-01-18T16:29:44.2248350Z
13.5592346,-0.8067647,10.6551418,2026-01-18T16:29:44.5254150Z
