Waypoint Number,AtWaypoint Time,LeavingWaypoint Time
0,2026-01-18T14:42:25.1721660Z,2026-01-18T14:42:46.5458700Z
1,2026-01-18T14:43:46.9900070Z,2026-01-18T14:44:07.6155510Z
2,2026-01-18T14:44:56.3374620Z,2026-01-18T14:45:19.2398250Z
3,2026-01-18T14:46:02.1849190Z,2026-01-18T14:46:23.0292560Z
4,2026-01-18T14:47:41.2982010Z,2026-01-18T14:48:04.2652940Z
5,2026-01-18T14:48:53.6585690Z,2026-01-18T14:49:15.0049820Z
6,2026-01-18T14:50:19.1022800Z,2026-01-18T14:50:40.3026950Z
7,2026-01-18T14:51:18.3515400Z,2026-01-18T14:51:37.9648420Z
8,2026-01-18T14:51:54.7213660Z,2026-01-18T14:52:16.2895650Z
9,2026-01-18T14:52:32.0159210Z,2026-01-18T14:52:53.5199460Z
